1,CHEVROLET,Lanos,Белый,2014
2,TOYOTA,Land Cruiser,Черный,2012
3,MITSUBISHI,Lancer,Иные цвета,2008
4,,,"",
5,DAEWOO,Nexia,Коричневый,2001
6,HYUNDAI,ix35,Белый,2010
7,GREAT WALL,,Серый,2006
8,HYUNDAI,Solaris,Белый,2013
9,MERCEDES,,Коричневый,2013
10,FORD,Focus,Синий,2003
11,TOYOTA,Camry,Черный,2016
12,FORD,Focus,Иные цвета,2012
13,ВАЗ,Жигули  ВАЗ-2107 модификации,Фиолетовый,2004
14,ЛИАЗ,5256,Белый,2010
15,CITROEN,C4,Черный,2011
16,SUZUKI,Boulevard,Черный,2007
17,MERCEDES,GL,Черный,2013
18,SUZUKI,Boulevard,Синий,2007
19,,,"",
20,BMW,X3,Серый,2013
21,AUDI,,Белый,2014
22,MAZDA,Mazda 3,Синий,2007
23,FORD,Fusion,Синий,2008
24,MERCEDES,Sprinter,Серый,2010
25,MERCEDES,E-класс,Иные цвета,2012
26,ВАЗ,Priora,Иные цвета,2008
27,ВАЗ,Priora,Серый,2007
28,YAMAHA,YZF,Синий,2006
29,ВАЗ,ВАЗ 2115 и модификации,Серый,2004
30,Прочие марки легковых ТС,,Серый,2010
31,LAND ROVER,Range Rover,Черный,2013
32,ВАЗ,"ВАЗ 2111, 21110 (универсал), 21113, 21114",Иные цвета,2006
33,SKODA,Octavia,Иные цвета,2012
34,AUDI,А3,Белый,2012
35,SSANGYONG,Actyon,Черный,2013
36,SUZUKI,Swift,Белый,2011
37,ГАЗ,,Белый,2015
38,ВАЗ,Priora,Иные цвета,2008
39,HYUNDAI,,Иные цвета,2014
40,KIA,Ceed,Красный,2015
41,MERCEDES,GL,Коричневый,2007
42,FORD,Mondeo,Черный,2011
43,LEXUS,LX,Серый,2013
44,MERCEDES,ML,Черный,1999
45,MERCEDES,E-класс,Красный,2004
46,BMW,X3,Черный,2013
47,CITROEN,Berlingo,Желтый,2014
48,BMW,5er,Черный,2013
49,HYUNDAI,Sonata,Черный,2011
50,SKODA,Octavia,Белый,2012
51,JAGUAR,,Белый,2013
52,SKODA,Rapid,Желтый,2017
53,NISSAN,Almera,Многоцветный,2016
54,SUZUKI,Swift,Зеленый,2003
55,TOYOTA,Corolla,Белый,2016
56,CHEVROLET,Cruze,Черный,2012
57,FORD,Mondeo,Желтый,2013
58,ЛИАЗ,5293,Белый,2013
59,HYUNDAI,Sonata,Черный,2010
60,VOLVO,FM,Красный,2013
61,Прочие марки ТС,,"",
62,HYUNDAI,Porter,Серый,2012
63,CHRYSLER,300C,Белый,2012
64,MERCEDES,Conecto H,Белый,2007
65,RENAULT,Premium,Красный,2011
66,AUDI,А6,Черный,2013
67,TOYOTA,RAV 4,Черный,2011
68,ЗИЛ,,Синий,2008
69,PEUGEOT,,Зеленый,2010
70,TOYOTA,Camry,Черный,2013
