"id","datetime","address","longitude","latitude","type_id","geo_updated","created_at"
2152,"2016-11-25 02:50:00+03","","37.2836","55.5025",4,False,"2018-07-14 00:13:20.435026+03"
1,"2016-11-30 08:35:00+03","г Москва, А-109 Ильинское шоссе","37.163858","55.74685",1,True,"2018-07-14 00:04:57.806586+03"
569,"2016-11-29 10:15:00+03","","37.347587","55.508371",2,False,"2018-07-14 00:06:10.311626+03"
416,"2018-03-18 19:30:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.058226","55.707816",2,True,"2018-07-14 00:04:57.811062+03"
2,"2016-11-24 18:06:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.170476","37.673591",2,True,"2018-07-14 00:04:57.81436+03"
805,"2015-08-06 10:40:00+03","г Москва, М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)","37","55",2,True,"2018-07-14 00:06:58.220407+03"
806,"2015-08-06 16:20:00+03","","37.219722","55.588889",2,False,"2018-07-14 00:06:58.223069+03"
807,"2015-08-02 14:00:00+03","","37","55",6,False,"2018-07-14 00:06:58.225615+03"
1150,"2015-09-29 12:00:00+03","","37.439167","55.625556",1,False,"2018-07-14 00:08:11.045833+03"
4,"2016-11-19 19:55:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.114981","55.716298",3,True,"2018-07-14 00:04:57.820888+03"
417,"2018-03-13 21:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.1412","55.4412",2,True,"2018-07-14 00:04:57.82375+03"
418,"2018-03-09 21:15:00+03","г Москва, А-109 Ильинское шоссе","37.2135","55.4609",2,True,"2018-07-14 00:04:57.829039+03"
1794,"2016-11-24 20:30:00+03","д Шеломово, ул Малиновая, 5","37","55",3,False,"2018-07-14 00:11:21.943505+03"
419,"2018-03-04 09:40:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.3036","55.7457",2,True,"2018-07-14 00:04:57.83165+03"
573,"2017-01-16 08:10:00+03","","37.327007","55.490113",2,False,"2018-07-14 00:06:10.303468+03"
6,"2016-11-11 14:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.176033","55.666613",3,True,"2018-07-14 00:04:57.834472+03"
572,"2017-01-28 20:20:00+03","","37.3578","55.5461",1,False,"2018-07-14 00:06:10.305841+03"
7,"2016-11-07 04:10:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.2002","55.7277",2,True,"2018-07-14 00:04:57.837712+03"
8,"2016-11-04 16:45:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.126593","55.697254",2,True,"2018-07-14 00:04:57.844632+03"
1955,"2015-05-26 17:30:00+03","","37.198056","55.364444",4,False,"2018-07-14 00:12:05.302813+03"
9,"2017-01-25 06:10:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.159288","55.72426",1,True,"2018-07-14 00:04:57.847747+03"
10,"2017-01-13 07:10:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.121683","55.717831",1,True,"2018-07-14 00:04:57.851095+03"
11,"2017-01-07 10:10:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.309206","55.7478",2,True,"2018-07-14 00:04:57.853893+03"
12,"2015-09-26 16:00:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.335556","55.799722",2,True,"2018-07-14 00:04:57.858147+03"
13,"2015-09-20 00:20:00+03","","37.418056","55.903056",1,False,"2018-07-14 00:04:57.860518+03"
420,"2016-07-30 09:50:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.462865","55.715321",3,True,"2018-07-14 00:04:57.863138+03"
15,"2015-09-16 16:00:00+03","","37.164722","55.678611",2,False,"2018-07-14 00:04:57.867072+03"
16,"2015-09-16 17:20:00+03","","37","55",4,False,"2018-07-14 00:04:57.869131+03"
2154,"2017-01-30 09:40:00+03","","37.241636","55.512026",2,False,"2018-07-14 00:13:20.017733+03"
484,"2017-03-08 06:20:00+03","","37.4386","55.1025",3,False,"2018-07-14 00:05:24.37775+03"
483,"2017-03-15 22:10:00+03","","37.4361","55.6367",1,False,"2018-07-14 00:05:24.380046+03"
2153,"2016-11-23 06:55:00+03","п Птичное, ул Лесная, 3","37.2114","55.5342",1,True,"2018-07-14 00:13:20.430232+03"
574,"2015-09-25 20:40:00+03","г Москва, А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)","37.210556","55.301667",2,True,"2018-07-14 00:06:10.299877+03"
17,"2015-09-16 10:20:00+03","","37.182222","55.744722",2,False,"2018-07-14 00:04:57.871189+03"
421,"2016-07-26 04:00:00+03","г Москва, М-10 Россия Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)","37.6956","55.1647",3,True,"2018-07-14 00:04:57.875061+03"
809,"2016-10-21 18:30:00+03","","37.121343","55.576064",1,False,"2018-07-14 00:06:58.229908+03"
1153,"2015-05-30 06:05:00+03","","37.434167","55.629722",2,False,"2018-07-14 00:08:11.038429+03"
575,"2015-09-21 19:00:00+03","г Москва, А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)","37.340556","55.505278",1,True,"2018-07-14 00:06:10.297031+03"
811,"2016-10-19 08:45:00+03","","37.2725","55.9333",2,False,"2018-07-14 00:06:58.234764+03"
422,"2016-07-23 05:40:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.157721","55.67975",7,True,"2018-07-14 00:04:57.882866+03"
20,"2015-09-05 20:15:00+03","","37.3","55.7975",1,False,"2018-07-14 00:04:57.884968+03"
423,"2016-07-22 17:10:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.092738","55.662096",2,True,"2018-07-14 00:04:57.887835+03"
424,"2016-07-19 16:40:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.276025","55.740131",2,True,"2018-07-14 00:04:57.891163+03"
21,"2015-09-02 06:40:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.265","55.718889",2,True,"2018-07-14 00:04:57.894462+03"
