,id_x,datetime,longitude,latitude,count_death
2,4,2016-11-19 16:55:00+00:00,37.114981,55.716298,1
3,11,2017-01-07 07:10:00+00:00,37.309206,55.7478,1
22,18,2015-09-10 14:55:00+00:00,37.355833,55.793889,1
9,20,2015-09-05 17:15:00+00:00,37.3,55.7975,1
24,35,2015-06-25 10:50:00+00:00,37.306389,55.799167,1
14,46,2015-06-06 20:24:00+00:00,37.351389,55.795833,1
16,52,2015-10-24 19:50:00+00:00,37.415278,55.904722,1
17,57,2015-10-06 12:05:00+00:00,37.49736,55.824804,1
19,61,2016-04-23 06:15:00+00:00,37.175324,55.744471,1
25,86,2015-05-31 17:00:00+00:00,37.1735,55.4746,1
23,90,2015-05-24 07:45:00+00:00,37.2375,55.694444,1
27,117,2016-08-11 19:25:00+00:00,37.0,55.0,1
29,139,2017-10-12 01:55:00+00:00,37.0,55.0,1
30,174,2017-06-14 18:05:00+00:00,37.35343,55.7947,1
40,193,2015-12-23 04:30:00+00:00,37.22939,55.735761,1
41,198,2015-12-13 00:25:00+00:00,37.587778,55.774722,1
47,202,2015-12-12 15:20:00+00:00,37.009722,55.738611,1
34,205,2015-12-06 19:45:00+00:00,37.241389,55.760556,2
51,230,2018-04-13 03:05:00+00:00,37.345116,55.759216,1
52,248,2015-08-06 18:50:00+00:00,37.022222,55.706667,1
54,253,2016-10-19 15:30:00+00:00,37.13742,55.687711,1
59,274,2017-09-22 09:33:00+00:00,37.021636,55.706791,1
60,286,2015-02-23 23:30:00+00:00,37.3575,55.793333,1
61,293,2015-02-04 03:58:00+00:00,37.173889,55.668333,1
55,298,2016-09-24 11:10:00+00:00,37.050168,55.725963,1
64,307,2016-09-01 08:20:00+00:00,37.46261,55.71579,1
65,309,2015-03-28 15:50:00+00:00,0.0,0.0,1
67,319,2018-05-26 08:25:00+00:00,37.331,55.800316,1
71,336,2016-05-31 19:55:00+00:00,37.241971,55.760925,1
74,344,2016-05-18 09:05:00+00:00,37.225061,55.734691,1
75,346,2016-05-12 11:46:00+00:00,37.09332,55.662765,1
76,348,2016-05-10 07:00:00+00:00,37.270328,55.70655,1
77,352,2016-05-01 21:05:00+00:00,37.407446,55.910155,1
38,368,2015-07-05 22:00:00+00:00,37.266667,55.688889,1
42,371,2015-04-25 07:00:00+00:00,37.227778,55.735556,1
82,385,2016-01-30 01:15:00+00:00,37.42947,55.894223,1
48,392,2016-03-20 04:05:00+00:00,37.064281,55.723325,2
83,394,2016-03-06 03:15:00+00:00,37.266866,55.701406,1
85,405,2016-06-10 22:45:00+00:00,37.06038,55.709461,1
39,413,2018-03-26 21:20:00+00:00,37.266967,55.701014,1
12,427,2016-07-15 14:55:00+00:00,37.248255,55.7369,1
93,449,2017-12-09 20:30:00+00:00,37.268769,55.645358,3
92,450,2015-06-23 15:20:00+00:00,37.338056,55.621389,1
70,461,2017-08-14 02:00:00+00:00,37.0,55.0,1
5,484,2017-03-08 03:20:00+00:00,37.4386,55.1025,1
35,488,2016-02-13 14:55:00+00:00,37.3406,55.6336,1
87,492,2018-04-12 00:30:00+00:00,37.24658,55.602323,2
91,493,2018-04-11 17:10:00+00:00,37.297054,55.625528,1
63,502,2017-09-25 15:35:00+00:00,37.4839,55.915,1
62,503,2017-09-17 18:30:00+00:00,37.4497,55.7175,1
88,511,2016-09-19 16:13:00+00:00,37.1926,55.3747,2
89,530,2016-01-04 21:40:00+00:00,37.3211,55.6289,1
72,536,2016-06-23 17:40:00+00:00,37.328741,55.66089,1
90,541,2015-11-13 15:10:00+00:00,37.299167,55.625556,1
95,559,2016-09-01 14:00:00+00:00,37.4568,55.525,1
96,564,2015-04-08 23:45:00+00:00,37.445556,55.543056,1
97,566,2018-03-26 23:15:00+00:00,37.4514,55.5194,1
98,567,2016-07-31 19:30:00+00:00,37.446633,55.526428,1
8,575,2015-09-21 16:00:00+00:00,37.340556,55.505278,1
15,583,2015-06-29 20:30:00+00:00,37.338056,55.504167,1
18,586,2015-06-20 03:20:00+00:00,37.392222,55.535833,1
20,598,2016-04-14 18:00:00+00:00,37.3767,55.5231,1
44,639,2016-02-04 18:33:00+00:00,37.3839,55.5231,2
43,640,2017-02-28 20:10:00+00:00,37.327959,55.493128,1
46,641,2017-02-23 18:50:00+00:00,37.6564,55.8325,1
49,646,2018-04-17 10:15:00+00:00,37.6631,55.8853,1
53,651,2015-08-12 21:20:00+00:00,37.285278,55.613611,1
58,657,2015-08-05 15:40:00+00:00,37.4622,55.6275,1
94,658,2016-10-08 03:30:00+00:00,37.3822,55.5214,1
69,676,2018-05-16 19:05:00+00:00,37.2116,55.3048,1
81,697,2016-01-24 03:15:00+00:00,37.3075,55.4836,3
86,706,2016-03-05 17:45:00+00:00,37.3847,55.5236,1
11,716,2017-05-20 08:30:00+00:00,37.191261,55.604283,1
100,742,2015-09-14 13:00:00+00:00,37.285278,55.590833,1
84,748,2015-06-30 14:10:00+00:00,37.286944,55.591389,1
101,750,2015-06-17 08:09:00+00:00,37.216389,55.595,1
103,754,2015-10-26 21:20:00+00:00,37.232222,55.578056,1
33,765,2015-05-15 18:40:00+00:00,37.1506,55.5592,1
80,774,2017-10-04 22:12:00+00:00,37.211389,55.573589,1
107,778,2018-01-04 21:05:00+00:00,37.174771,55.582494,1
109,785,2017-06-09 01:50:00+00:00,37.0956,55.2645,1
110,786,2017-03-02 06:45:00+00:00,37.28797,55.591592,1
112,787,2015-12-14 12:05:00+00:00,37.2575,55.918333,1
114,792,2016-02-10 17:05:00+00:00,37.22,55.5947,1
7,809,2016-10-21 15:30:00+00:00,37.121343,55.576064,1
10,812,2016-10-13 23:40:00+00:00,37.1528,55.5653,1
21,823,2015-03-15 16:50:00+00:00,37.14,55.578056,1
66,830,2017-11-03 15:30:00+00:00,37.1128,55.5747,1
37,838,2015-04-05 04:50:00+00:00,37.233889,55.592778,1
73,844,2015-01-14 15:45:00+00:00,37.385493,55.853117,1
78,847,2016-03-30 14:50:00+00:00,37.138098,55.553174,2
79,857,2015-11-06 17:50:00+00:00,37.144444,55.578889,1
156,859,2016-11-12 14:30:00+00:00,37.348757,55.612971,1
113,882,2017-12-04 21:10:00+00:00,37.2028,55.5711,1
31,887,2015-06-09 13:45:00+00:00,37.4225,55.626667,1
68,891,2015-05-31 21:35:00+00:00,37.413056,55.624444,4
118,893,2015-10-27 06:50:00+00:00,37.0,55.0,1
119,909,2017-05-18 10:45:00+00:00,37.3197,55.5997,1
120,912,2017-08-20 09:00:00+00:00,37.7839,55.2247,1
155,942,2016-08-06 18:05:00+00:00,37.2016,55.3616,1
154,960,2018-01-11 20:05:00+00:00,37.2928,55.6247,1
128,961,2018-01-08 22:30:00+00:00,37.388696,55.61818,1
130,972,2017-06-14 21:50:00+00:00,37.2583,55.5833,1
153,1067,2018-05-03 21:20:00+00:00,37.356612,55.59928,1
144,1081,2016-05-06 22:55:00+00:00,37.333666,55.60359,2
145,1103,2015-01-01 14:20:00+00:00,37.3525,55.608056,1
151,1129,2018-03-12 12:25:00+00:00,37.4272,55.6297,1
150,1131,2018-03-09 07:05:00+00:00,37.295374,55.59377,1
152,1139,2016-07-16 15:00:00+00:00,37.306261,55.596315,1
1,1150,2015-09-29 09:00:00+00:00,37.439167,55.625556,1
32,1160,2015-03-14 14:30:00+00:00,37.447764,55.615573,1
28,1162,2015-04-27 19:30:00+00:00,37.447778,55.625556,2
